country,names,region_indexes,colour,order
Bolivia,['Bolivia'],[213],C1,29
Bhutan,['Bhutan'],[214],C5,138
Benin,['Benin'],[215],C4,109
Belize,['Belize'],[216],C3,152
Belgium,['Belgium'],[217],C2,137
Belarus,['Belarus'],[218],C1,71
Barbados,['Barbados'],[219],C5,187
Bangladesh,['Bangladesh'],[220],C4,100
Bahrain,['Bahrain'],[221],C3,180
The Bahamas,"['The Bahamas', 'Bahamas']",[222],C2,161
Azerbaijan,['Azerbaijan'],[223],C2,116
Austria,['Austria'],[224],C1,105
Australia,['Australia'],[225],C5,7
Armenia,['Armenia'],[230],C4,140
Argentina,['Argentina'],[231],C3,10
Antigua and Barbuda,"['Antigua and Barb.', 'Antigua and Barbuda']",[232],C2,186
Angola,['Angola'],[233],C5,25
Andorra,['Andorra'],[234],C4,181
Algeria,['Algeria'],[235],C3,12
Albania,['Albania'],[236],C2,141
Afghanistan,['Afghanistan'],[237],C1,45
Kashmir,"['Siachen Glacier', 'Kashmir']",[238],C2,174
Antarctica,['Antarctica'],[239],C1,1
Tuvalu,['Tuvalu'],[241],C4,200
